t_ms,Fx,Fy,Fz,Mx,My,Mz,pose_x,pose_y,pose_z,pose_rx,pose_ry,pose_rz,ff_enabled,acc_x,acc_y,acc_z,is_still
8068187,-0.069,-0.109,0.019,-0.003,0.001,-0.002,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8068234,-0.224,-0.318,-0.024,-0.010,0.002,-0.003,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8068281,-0.313,-0.414,-0.161,-0.013,0.003,-0.000,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8068375,-0.304,-0.384,-0.194,-0.012,0.003,0.002,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8068421,-0.265,-0.347,0.011,-0.010,0.003,-0.001,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8068468,-0.223,-0.361,0.227,-0.011,0.002,-0.008,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8068531,-0.224,-0.394,0.151,-0.014,0.001,-0.009,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8068625,-0.269,-0.376,-0.076,-0.013,0.002,-0.002,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8068703,-0.316,-0.333,-0.151,-0.009,0.004,0.003,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8068781,-0.299,-0.339,-0.039,-0.007,0.003,0.001,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8068890,-0.238,-0.384,0.088,-0.010,0.002,-0.006,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8068984,-0.241,-0.398,0.092,-0.012,0.002,-0.007,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8069125,-0.272,-0.401,0.012,-0.012,0.002,-0.004,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8069171,-0.239,-0.422,-0.000,-0.013,0.001,-0.006,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8069218,-0.184,-0.431,0.122,-0.013,0.000,-0.010,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8069296,-0.160,-0.433,0.256,-0.013,0.000,-0.014,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8069437,-0.187,-0.420,0.246,-0.012,0.001,-0.012,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8069531,-0.265,-0.375,0.095,-0.010,0.002,-0.005,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8069640,-0.275,-0.363,0.049,-0.009,0.003,-0.003,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8069718,-0.194,-0.370,0.087,-0.012,0.001,-0.007,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8069812,-0.186,-0.340,0.022,-0.012,0.000,-0.006,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8069890,-0.256,-0.339,-0.052,-0.011,0.002,-0.002,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8069968,-0.304,-0.359,-0.155,-0.012,0.004,0.002,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8070078,-0.286,-0.356,-0.151,-0.012,0.004,0.001,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8070187,-0.246,-0.361,-0.008,-0.011,0.003,-0.003,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8070328,-0.254,-0.359,-0.006,-0.010,0.002,-0.003,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8070375,-0.256,-0.349,-0.033,-0.011,0.001,-0.002,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8070421,-0.216,-0.349,0.019,-0.012,0.001,-0.005,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8070500,-0.183,-0.348,0.006,-0.013,0.000,-0.006,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8070640,-0.193,-0.365,-0.049,-0.012,-0.000,-0.006,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8070734,-0.251,-0.395,-0.082,-0.012,0.001,-0.004,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8070843,-0.288,-0.392,-0.049,-0.010,0.002,-0.001,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8070921,-0.266,-0.369,0.065,-0.009,0.002,-0.004,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8071015,-0.236,-0.367,0.077,-0.010,0.002,-0.006,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8071093,-0.234,-0.370,-0.089,-0.011,0.001,-0.001,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8071171,-0.274,-0.341,-0.232,-0.010,0.003,0.005,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8071281,-0.257,-0.332,-0.148,-0.008,0.003,0.002,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8071390,-0.197,-0.375,0.085,-0.009,0.002,-0.007,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8071531,-0.256,-0.379,0.102,-0.009,0.003,-0.007,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8071578,-0.313,-0.346,-0.040,-0.008,0.004,-0.001,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8071625,-0.250,-0.365,0.015,-0.010,0.003,-0.003,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8071703,-0.179,-0.415,0.122,-0.012,0.002,-0.009,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8071843,-0.143,-0.438,0.118,-0.013,0.001,-0.010,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8071937,-0.149,-0.420,0.106,-0.012,0.001,-0.009,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8072046,-0.228,-0.373,-0.002,-0.010,0.002,-0.004,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8072125,-0.309,-0.331,-0.202,-0.009,0.003,0.004,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8072218,-0.284,-0.340,-0.175,-0.009,0.003,0.002,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8072296,-0.206,-0.385,0.065,-0.011,0.003,-0.006,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8072375,-0.207,-0.392,0.122,-0.011,0.002,-0.007,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8072484,-0.238,-0.375,0.045,-0.010,0.001,-0.004,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8072593,-0.235,-0.380,-0.005,-0.010,0.001,-0.002,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8072734,-0.241,-0.392,-0.013,-0.011,0.002,-0.002,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8072781,-0.233,-0.402,0.113,-0.012,0.003,-0.007,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8072828,-0.211,-0.400,0.167,-0.012,0.003,-0.009,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8072906,-0.221,-0.395,0.113,-0.011,0.001,-0.007,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8073046,-0.257,-0.384,0.010,-0.010,0.001,-0.004,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8073140,-0.273,-0.391,-0.121,-0.010,0.002,-0.000,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8073250,-0.270,-0.413,-0.121,-0.012,0.002,-0.002,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8073328,-0.261,-0.391,-0.046,-0.012,0.002,-0.003,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8073421,-0.224,-0.373,0.054,-0.011,0.003,-0.005,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8073500,-0.257,-0.359,0.058,-0.011,0.003,-0.004,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8073578,-0.316,-0.336,-0.055,-0.010,0.003,0.001,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8073687,-0.261,-0.361,-0.047,-0.010,-0.000,0.000,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8073796,-0.210,-0.412,0.133,-0.010,-0.001,-0.008,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8073937,-0.243,-0.390,0.164,-0.009,0.002,-0.008,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8073984,-0.281,-0.334,-0.005,-0.009,0.003,-0.002,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8074031,-0.254,-0.353,0.049,-0.010,0.002,-0.005,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8074109,-0.198,-0.400,0.253,-0.013,0.001,-0.013,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8074250,-0.161,-0.444,0.303,-0.014,0.001,-0.015,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
8074343,-0.186,-0.448,0.180,-0.013,0.002,-0.010,-138.593,-220.753,395.555,-178.672,4.681,109.976,1,0.0000,0.0000,0.0000,1
